1,0,43.6,45.4,47.3,49.1,51.0,52.9,54.7
2,1,47.8,49.8,51.7,53.7,55.6,57.6,59.5
3,2,51.0,53.0,55.0,57.1,59.1,61.1,63.2
4,3,53.5,55.6,57.7,59.8,61.9,64.0,66.1
5,4,55.6,57.8,59.9,62.1,64.3,66.4,68.6
6,5,57.4,59.6,61.8,64.0,66.2,68.5,70.7
7,6,58.9,61.2,63.5,65.7,68.0,70.3,72.5
8,7,60.3,62.7,65.0,67.3,69.6,71.9,74.2
9,8,61.7,64.0,66.4,68.7,71.1,73.5,75.8
10,9,62.9,65.3,67.7,70.1,72.6,75.0,77.4
11,10,64.1,66.5,69.0,71.5,73.9,76.4,78.9
12,11,65.2,67.7,70.3,72.8,75.3,77.8,80.3
13,12,66.3,68.9,71.4,74.0,76.6,79.2,81.7
14,13,67.3,70.0,72.6,75.2,77.8,80.5,83.1
15,14,68.3,71.0,73.7,76.4,79.1,81.7,84.4
16,15,69.3,72.0,74.8,77.5,80.2,83.0,85.7
17,16,70.2,73.0,75.8,78.6,81.4,84.2,87.0
18,17,71.1,74.0,76.8,79.7,82.5,85.4,88.2
19,18,72.0,74.9,77.8,80.7,83.6,86.5,89.4
20,19,72.8,75.8,78.8,81.7,84.7,87.6,90.6
21,20,73.7,76.7,79.7,82.7,85.7,88.7,91.7
22,21,74.5,77.5,80.6,83.7,86.7,89.8,92.9
23,22,75.2,78.4,81.5,84.6,87.7,90.8,94.0
24,23,76.0,79.2,82.3,85.5,88.7,91.9,95.0
25,24,76.0,79.3,82.5,85.7,88.9,92.2,95.4
26,25,76.8,80.0,83.3,86.6,89.9,93.1,96.4
27,26,77.5,80.8,84.1,87.4,90.8,94.1,97.4
28,27,78.1,81.5,84.9,88.3,91.7,95.0,98.4
29,28,78.8,82.2,85.7,89.1,92.5,96.0,99.4
30,29,79.5,82.9,86.4,89.9,93.4,96.9,100.3
31,30,80.1,83.6,87.1,90.7,94.2,97.7,101.3
32,31,80.7,84.3,87.9,91.4,95.0,98.6,102.2
33,32,81.3,84.9,88.6,92.2,95.8,99.4,103.1
34,33,81.9,85.6,89.3,92.9,96.6,100.3,103.9
35,34,82.5,86.2,89.9,93.6,97.4,101.1,104.8
36,35,83.1,86.8,90.6,94.4,98.1,101.9,105.6
37,36,83.6,87.4,91.2,95.1,98.9,102.7,106.5
38,37,84.2,88.0,91.9,95.7,99.6,103.4,107.3
39,38,84.7,88.6,92.5,96.4,100.3,104.2,108.1
40,39,85.3,89.2,93.1,97.1,101.0,105.0,108.9
41,40,85.8,89.8,93.8,97.7,101.7,105.7,109.7
42,41,86.3,90.4,94.4,98.4,102.4,106.4,110.5
43,42,86.8,90.9,95.0,99.0,103.1,107.2,111.2
44,43,87.4,91.5,95.6,99.7,103.8,107.9,112.0
45,44,87.9,92.0,96.2,100.3,104.5,108.6,112.7
46,45,88.4,92.5,96.7,100.9,105.1,109.3,113.5
47,46,88.9,93.1,97.3,101.5,105.8,110.0,114.2
48,47,89.3,93.6,97.9,102.1,106.4,110.7,114.9
49,48,89.8,94.1,98.4,102.7,107.0,111.3,115.7
50,49,90.3,94.6,99.0,103.3,107.7,112.0,116.4
51,50,90.7,95.1,99.5,103.9,108.3,112.7,117.1
52,51,91.2,95.6,100.1,104.5,108.9,113.3,117.7
53,52,91.7,96.1,100.6,105.0,109.5,114.0,118.4
54,53,92.1,96.6,101.1,105.6,110.1,114.6,119.1
55,54,92.6,97.1,101.6,106.2,110.7,115.2,119.8
56,55,93.0,97.6,102.2,106.7,111.3,115.9,120.4
57,56,93.4,98.1,102.7,107.3,111.9,116.5,121.1
58,57,93.9,98.5,103.2,107.8,112.5,117.1,121.8
59,58,94.3,99.0,103.7,108.4,113.0,117.7,122.4
60,59,94.7,99.5,104.2,108.9,113.6,118.3,123.1
61,60,95.2,99.9,104.7,109.4,114.2,118.9,123.7
